County,FIPS,Population,Pop_over65,JH_Deaths,JH_Confirmed
Baker,41001,16124,4074,0,0
Benton,41003,93053,13573,5,30
Clackamas,41005,418187,69081,7,214
Clatsop,41007,40224,8015,0,6
Columbia,41009,52354,9097,0,14
Coos,41011,64487,15845,0,20
Crook,41013,24404,5490,0,1
Curry,41015,22925,7439,0,4
Deschutes,41017,197692,34502,0,76
Douglas,41019,110980,26671,0,23
Gilliam,41021,1912,485,0,0
Grant,41023,7199,2034,0,1
Harney,41025,7393,1695,0,1
Hood River,41027,23382,3460,0,6
Jackson,41029,220944,45075,0,49
Jefferson,41031,24658,4275,0,10
Josephine,41033,87487,21619,1,20
Klamath,41035,68238,13368,0,38
Lake,41037,7869,1903,0,0
Lane,41039,382067,67440,2,50
Lincoln,41041,49962,12952,0,5
Linn,41043,129749,22051,7,86
Malheur,41045,30571,4901,0,8
Marion,41047,347818,50268,18,491
Morrow,41049,11603,1662,0,6
Multnomah,41051,812855,100763,43,707
Polk,41053,86085,13995,1,39
Sherman,41055,1780,412,0,1
Tillamook,41057,27036,6372,0,6
Umatilla,41059,77950,11454,0,50
Union,41061,26835,5043,0,4
Wallowa,41063,7208,1926,0,1
Wasco,41065,26682,5161,1,13
Washington,41067,601592,73044,11,491
Wheeler,41069,1332,488,0,0
Yamhill,41071,107100,16913,7,39
