GEOID10,POP10
410030101005,1693
410030101003,2429
410030001002,1333
410030104002,822
410030101001,866
410030103003,915
410030108003,1682
410030104001,623
410030103002,980
410030103001,1308
410030009004,1049
410030004002,2975
410030005001,815
410030010011,1165
410030009003,1954
410030004003,1786
410030010013,1382
410030004004,1072
410030004001,1987
410030010012,1325
410030010023,825
410030009001,818
410030010021,975
410030010022,1359
410030009005,865
410030009002,752
410030011011,788
410030106004,1700
410030011012,1028
410030011021,867
410030011023,936
410030011014,785
410030011022,1455
410030011013,1061
410030011024,1261
410030107022,1503
410030106002,1217
410030107023,862
410030106003,1260
410030001001,1270
410030001003,1438
410030108001,741
410030001004,3018
410030006001,1801
410030107021,1280
410030002022,3815
410030108002,1032
410030109002,2506
410030104003,2363
410030106001,1330
410030102003,1021
410030006003,1926
410030101004,1625
410030102001,1938
410030006002,1118
410030005003,1074
410030102002,1131
410030005002,1252
410030109001,2097
410030002021,1419
410030101002,1906
